Gene,Start,End,Length (nt),Strand,Locus Tag,CDS,Pseudo,PEC,Gerdes,LB medium,,,,,M9 glucose (0.2%) medium,,,,
yncI,1530586,1531639,1054,+,b1459,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,6,0.42,5,0.38,E
ydcC,1531816,1532952,1137,+,b1460,Y,N,NE,NE,33,12.10 ,28,11.17 ,NE,507,32.79,497,34.98,NE
pptA,1533052,1533285,234,+,b1461,Y,N,NE,NE,9,16.03 ,5,9.74 ,NE,26,8.17,26,8.94,NE
yddH,1533282,1533851,570,-,b1462,Y,N,NE,NE,93,68.02 ,45,35.67 ,NE,723,93.29,469,65.58,NE
nhoA,1534024,1534869,846,+,b1463,Y,N,NE,E,55,27.10 ,55,29.47 ,NE,280,24.34,279,26.37,NE
yddE,1534965,1535858,894,-,b1464,Y,N,NE,E,47,21.92 ,44,22.32 ,NE,1135,93.37,1128,100.92,NE
narV,1535937,1536617,681,-,b1465,Y,N,NE,NE,63,38.57 ,60,40.02 ,NE,233,25.16,230,27.06,NE
narW,1536614,1537309,696,-,b1466,Y,N,NE,NE,506,303.09 ,497,323.75 ,NE,364,38.46,358,41.14,NE
narY,1537309,1538853,1545,-,b1467,Y,N,NE,NE,345,93.09 ,321,94.18 ,NE,7101,338.02,7044,364.57,NE
narZ,1538850,1542590,3741,-,b1468,Y,N,NE,NE,1205,134.29 ,1191,144.30 ,NE,8488,166.87,8436,180.30,NE
narU,1542672,1544060,1389,-,b1469,Y,N,NE,NE,175,52.53 ,173,56.48 ,NE,749,39.66,696,40.08,NE
yddK,1544384,1545714,1331,-,b1471,Y,Y,NE,E,0,0.00 ,0,0.00 ,E,8,0.44,7,0.42,E
yddL,1545750,1546028,279,-,b1472,Y,Y,NE,E,0,0.00 ,0,0.00 ,E,1,0.26,1,0.29,E
yddG,1546288,1547169,882,-,b1473,Y,N,NE,NE,4442,2099.62 ,4429,2279.56 ,NE,21699,1809.36,21655,1966.19,NE
fdnG,1547401,1550448,3048,+,b1474,Y,N,NE,NE,2220,303.65 ,2206,327.99 ,NE,17440,420.81,17397,456.30,NE
fdnH,1550461,1551345,885,+,b1475,Y,N,NE,NE,313,147.45 ,304,155.89 ,NE,1169,97.15,1155,104.48,NE
fdnI,1551338,1551991,654,+,b1476,Y,N,NE,NE,120,76.50 ,109,75.49 ,NE,2087,234.69,2079,253.99,NE
yddM,1552398,1552682,285,-,b1477,Y,N,NE,E,2,2.93 ,2,3.19 ,NE,4,1.03,4,1.13,E
adhP,1552828,1553838,1011,-,b1478,Y,N,NE,NE,1699,700.60 ,1698,760.36 ,NE,4937,359.14,4923,388.90,NE
maeA,1553972,1555669,1698,-,b1479,Y,N,NE,NE,799,196.17 ,688,183.63 ,NE,7803,337.97,7397,348.28,NE
sra,1555826,1555963,138,-,b1480,Y,N,NE,NE,12,36.25 ,10,33.09 ,NE,132,70.35,52,30.35,NE
bdm,1556065,1556280,216,-,b1481,Y,N,NE,NE,281,542.35 ,279,581.57 ,NE,1886,642.16,1879,690.96,NE
osmC,1556625,1557056,432,+,b1482,Y,N,NE,NE,370,357.07 ,370,389.53 ,NE,827,140.79,827,153.59,NE
ddpF,1557112,1558038,927,-,b1483,Y,N,NE,NE,710,319.31 ,655,320.88 ,NE,3427,271.89,2846,245.96,NE
ddpD,1558031,1559017,987,-,b1484,Y,N,NE,NE,196,82.79 ,181,83.20 ,NE,1229,91.58,1205,97.71,NE
ddpC,1559014,1559910,897,-,b1485,Y,N,NE,E,466,216.58 ,449,226.89 ,NE,2230,182.84,2007,178.92,NE
ddpB,1559907,1560929,1023,-,b1486,Y,N,NE,NE,671,273.45 ,666,294.44 ,NE,6821,490.37,6775,528.39,NE
ddpA,1560931,1562481,1551,-,b1487,Y,N,NE,NE,120,32.26 ,116,33.89 ,NE,1123,53.25,1046,53.91,NE
ddpX,1562495,1563076,582,-,b1488,Y,N,NE,NE,296,212.03 ,289,225.63 ,NE,2178,275.23,2171,299.00,NE
dosP,1563334,1565733,2400,-,b1489,Y,N,NE,NE,636,110.48 ,612,115.55 ,NE,1782,54.61,1778,59.22,NE
dosC,1565758,1567140,1383,-,b1490,Y,N,NE,NE,6,1.81 ,4,1.31 ,E,430,22.87,396,22.91,NE
yddW,1567504,1568823,1320,-,b1491,Y,N,NE,NE,597,188.55 ,571,195.76 ,NE,2630,146.53,2563,155.01,NE
gadC,1568954,1570489,1536,-,b1492,Y,N,NE,NE,223,60.53 ,208,61.41 ,NE,1681,80.49,1656,86.25,NE
gadB,1570645,1572045,1401,-,b1493,Y,N,NE,NE,2727,811.48 ,1961,634.24 ,NE,5305,278.48,4587,261.72,NE
pqqL,1572407,1575202,2796,-,b1494,Y,N,NE,NE,668,99.60 ,664,107.63 ,NE,7942,208.90,7937,226.95,NE
yddB,1575247,1577619,2373,-,b1495,Y,N,NE,NE,584,102.60 ,576,109.90 ,NE,3981,123.38,3942,132.68,NE
yddA,1577657,1579342,1686,-,b1496,Y,N,NE,NE,54,13.35 ,49,13.18 ,NE,719,31.36,716,33.97,NE
ydeM,1579633,1580790,1158,-,b1497,Y,N,NE,NE,25,9.00 ,18,7.04 ,NE,201,12.77,141,9.73,NE
ydeN,1580842,1582524,1683,-,b1498,Y,N,NE,NE,324,80.26 ,319,85.97 ,NE,725,31.68,714,33.94,NE
ydeO,1582926,1583687,762,-,b1499,Y,N,NE,NE,1,0.55 ,1,0.59 ,E,3,0.29,3,0.31,E
safA,1583762,1583959,198,-,b1500,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ydeP,1584207,1586486,2280,-,b1501,Y,N,NE,NE,208,38.03 ,207,41.17 ,NE,3510,113.22,3491,122.49,NE
ydeQ,1586820,1587734,915,-,b1502,Y,N,NE,NE,11,5.01 ,11,5.44 ,NE,240,19.29,240,20.94,NE
ydeR,1587793,1588296,504,-,b1503,Y,N,NE,NE,87,71.96 ,86,77.27 ,NE,1278,186.49,1276,202.25,NE
ydeS,1588309,1588839,531,-,b1504,Y,N,NE,NE,4,3.14 ,4,3.42 ,NE,35,4.85,32,4.83,NE
ydeT,1588853,1590079,1227,-,b1505,Y,Y,NE,NE,36,12.23 ,36,13.32 ,NE,195,11.69,193,12.59,NE
yneL,1590334,1590536,203,-,b1506,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
hipA,1590854,1592176,1323,-,b1507,Y,N,NE,NE,109,34.35 ,104,35.57 ,NE,659,36.63,645,38.91,NE
hipB,1592176,1592442,267,-,b1508,Y,N,NE,NE,2,3.12 ,2,3.38 ,NE,14,3.86,9,2.68,NE
yneO,1592665,1597987,5323,-,b4696,Y,Y,NE,NE,394,30.86 ,380,32.34 ,NE,5597,77.33,5434,81.58,NE
lsrK,1598617,1600209,1593,-,b1511,Y,N,NE,NE,403,105.47 ,378,107.57 ,NE,2879,132.92,2725,136.80,NE
lsrR,1600288,1601241,954,-,b1512,Y,N,NE,NE,60,26.22 ,29,13.77 ,NE,150,11.56,115,9.63,NE
lsrA,1601490,1603025,1536,+,b1513,Y,N,NE,NE,525,142.49 ,512,151.17 ,NE,4847,232.08,3954,205.95,NE
lsrC,1603019,1604047,1029,+,b1514,Y,N,NE,NE,586,237.42 ,583,257.20 ,NE,1599,114.28,1569,122.11,NE
lsrD,1604047,1605039,993,+,b1515,Y,N,NE,NE,184,77.25 ,174,79.45 ,NE,1687,124.95,1681,135.41,NE
lsrB,1605051,1606073,1023,+,b1516,Y,N,NE,NE,81,33.01 ,65,28.74 ,NE,176,12.65,163,12.71,NE
lsrF,1606100,1606975,876,+,b1517,Y,N,NE,NE,495,235.58 ,488,253.04 ,NE,1938,162.71,1915,175.17,NE
lsrG,1606999,1607289,291,+,b1518,Y,N,NE,NE,7,10.03 ,5,7.81 ,NE,26,6.57,23,6.34,NE
tam,1607346,1608104,759,+,b1519,Y,N,NE,NE,163,89.53 ,158,94.23 ,NE,946,91.66,925,97.32,NE
yneE,1608108,1609022,915,-,b1520,Y,N,NE,NE,172,78.37 ,171,84.57 ,NE,683,54.90,681,59.41,NE
uxaB,1609229,1610680,1452,-,b1521,Y,N,NE,NE,299,85.85 ,298,92.99 ,NE,2074,105.05,2073,114.12,NE
yneF,1610907,1611854,948,-,b1522,Y,N,NE,NE,153,67.28 ,147,70.28 ,NE,709,55.00,704,59.38,NE
yneG,1611966,1612325,360,-,b1523,Y,N,NE,E,54,62.53 ,44,55.25 ,NE,34,6.95,31,6.87,NE
glsB,1612325,1613251,927,-,b1524,Y,N,NE,NE,276,124.13 ,250,122.47 ,NE,2359,187.16,2359,203.87,NE
sad,1613315,1614703,1389,-,b1525,Y,N,NE,NE,773,232.01 ,755,246.48 ,NE,10188,539.44,9938,572.35,NE
yneJ,1614804,1615685,882,+,b1526,Y,N,NE,NE,363,171.58 ,198,101.91 ,NE,1334,111.23,1177,106.87,NE
yneK,1615763,1616878,1116,+,b1527,Y,N,NE,NE,92,34.37 ,88,35.69 ,NE,288,18.98,269,19.24,NE
ydeA,1617028,1618218,1191,+,b1528,Y,N,NE,NE,404,141.42 ,390,148.48 ,NE,2431,150.12,2412,162.00,NE
marC,1618243,1618908,666,-,b1529,Y,N,NE,NE,290,181.53 ,287,194.87 ,NE,1997,220.52,1992,238.60,NE
marR,1619120,1619554,435,+,b1530,Y,N,NE,NE,51,48.88 ,50,52.24 ,NE,618,104.48,613,112.99,NE
marA,1619574,1619957,384,+,b1531,Y,N,NE,E,3,3.26 ,2,2.37 ,NE,183,35.05,182,38.03,NE
marB,1619989,1620207,219,+,b1532,Y,N,NE,NE,89,169.42 ,60,123.22 ,NE,69,23.17,40,14.49,NE
eamA,1620238,1621137,900,-,b1533,Y,N,NE,NE,63,29.18 ,38,19.13 ,NE,452,36.94,357,31.71,NE
ydeE,1621332,1622519,1188,+,b1534,Y,N,NE,E,177,62.11 ,173,66.05 ,NE,898,55.59,892,60.08,NE
yneM,1622646,1622741,96,+,b4599,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,32,24.52,32,26.74,NE
mgrR,1622817,1622914,98,-,b4698,N,N,NE,NE,1,4.25 ,1,4.63 ,NE,14,10.51,10,8.17,NE
dgcZ,1622960,1623850,891,-,b1535,Y,N,NE,NE,14,6.55 ,14,7.13 ,NE,262,21.63,262,23.53,NE
ydeI,1624105,1624497,393,-,b1536,Y,N,NE,NE,15,15.91 ,15,17.32 ,NE,46,8.61,46,9.37,NE
ydeJ,1624773,1625291,519,+,b1537,Y,N,NE,NE,152,122.10 ,147,127.94 ,NE,578,81.91,569,87.36,NE
dcp,1625335,1627380,2046,-,b1538,Y,N,NE,NE,997,203.15 ,915,202.69 ,NE,5749,206.65,5430,212.19,NE
ydfG,1627517,1628263,747,+,b1539,Y,N,NE,NE,676,377.27 ,676,410.22 ,NE,1086,106.92,1086,116.26,NE
rspR,1628352,1629038,687,+,b1540,Y,N,NE,NE,158,95.88 ,144,95.14 ,NE,116,12.42,115,13.40,NE
ydfZ,1629215,1629418,204,+,b1541,Y,N,NE,NE,12,24.52 ,10,22.18 ,NE,299,107.79,299,116.97,NE
ydfI,1629453,1630913,1461,-,b1542,Y,N,NE,NE,293,83.61 ,293,90.82 ,NE,1799,90.56,1795,98.15,NE
ydfJ,1631002,1652838,21837,-,b4600,Y,Y,NE,NE,5619,107.27 ,5506,114.26 ,NE,28755,96.84,26668,97.63,NE
ydfK,1633072,1633305,234,+,b1544,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,2,0.63,2,0.69,E
pinQ,1633622,1634212,591,+,b1545,Y,N,NE,NE,2,1.41 ,2,1.54 ,E,11,1.37,5,0.68,E
tfaQ,1634310,1634885,576,-,b1546,Y,N,NE,NE,90,65.14 ,87,68.69 ,NE,3536,451.48,3476,484.17,NE
stfQ,1634885,1635847,963,-,b1547,Y,N,NE,NE,201,87.02 ,190,89.30 ,NE,991,75.68,880,72.96,NE
nohQ,1635840,1636367,528,-,b1548,Y,Y,NE,NE,73,57.64 ,71,61.16 ,NE,710,98.90,694,105.46,NE
ynfO,1636756,1636989,234,+,b4533,Y,N,NE,NE,2,3.56 ,2,3.90 ,NE,2,0.63,2,0.69,E
ydfO,1637047,1637457,411,+,b1549,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
gnsB,1637609,1637782,174,-,b1550,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ynfN,1637954,1638109,156,-,b1551,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,1,0.47,1,0.51,E
cspI,1638455,1638667,213,-,b1552,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
rzpQ,1639030,1639527,498,-,b1553,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,23,3.40,23,3.69,NE
rzoQ,1639080,1639334,255,-,b4689,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,8,2.31,8,2.50,NE
rrrQ,1639524,1640057,534,-,b1554,Y,N,NE,NE,71,55.43 ,69,58.71 ,NE,748,103.02,738,110.77,NE
ydfR,1640054,1640365,312,-,b1555,Y,N,NE,E,6,8.02 ,6,8.69 ,NE,27,6.36,19,4.85,NE
essQ,1640370,1640585,216,-,b1556,Y,N,NE,E,8,15.44 ,8,16.68 ,NE,126,42.90,126,46.33,NE
cspB,1641339,1641554,216,-,b1557,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,2,0.68,2,0.74,E
cspF,1641855,1642067,213,+,b1558,Y,N,NE,NE,1,1.96 ,1,2.12 ,E,19,6.56,19,7.09,NE
quuQ,1642489,1643241,753,-,b1559,Y,N,NE,NE,591,327.21 ,470,282.75 ,NE,5728,559.45,1536,163.01,NE
ydfU,1643255,1644304,1050,-,b1560,Y,N,NE,NE,1311,520.53 ,984,424.67 ,NE,6846,479.51,4989,379.83,NE
rem,1644651,1644902,252,-,b1561,Y,N,NE,NE,4,6.62 ,4,7.19 ,NE,13,3.79,12,3.80,NE
hokD,1645119,1645274,156,-,b1562,Y,N,NE,NE,3,8.02 ,3,8.69 ,NE,8,3.77,6,3.06,NE
relE,1645346,1645633,288,-,b1563,Y,N,NE,E,2,2.90 ,2,3.16 ,NE,91,23.24,91,25.35,NE
relB,1645633,1645872,240,-,b1564,Y,N,NE,NE,17,29.53 ,16,30.32 ,NE,4,1.23,3,1.00,E
ydfV,1645897,1646202,306,+,b1565,Y,N,NE,E,1119,1524.54 ,1112,1643.94 ,NE,714,171.61,708,184.64,NE
flxA,1646405,1646737,333,+,b1566,Y,N,NE,NE,22,27.54 ,22,30.07 ,NE,138,30.48,138,33.28,NE
intK,1647174,1647356,183,-,b1567,Y,Y,NE,NE,4,9.11 ,4,9.99 ,NE,18,7.23,17,7.49,NE
ydfX,1647358,1647636,279,-,b1568,Y,Y,NE,NE,17,25.40 ,17,27.79 ,NE,26,6.85,26,7.50,NE
dicC,1647620,1647850,231,-,b1569,Y,N,NE,NE,2,3.61 ,2,3.95 ,NE,1,0.32,1,0.35,E
dicA,1647934,1648341,408,+,b1570,Y,N,NE,E,2,2.04 ,2,2.22 ,NE,3,0.54,3,0.59,E
ydfA,1648508,1648663,156,+,b1571,Y,N,NE,NE,2,5.34 ,2,5.79 ,NE,45,21.21,44,22.47,NE
ydfB,1648665,1648793,129,+,b1572,Y,N,NE,NE,52,168.05 ,51,181.73 ,NE,275,156.78,275,172.86,NE
ydfC,1648823,1649041,219,+,b1573,Y,N,NE,NE,4,7.61 ,4,8.21 ,NE,84,28.21,84,30.43,NE
dicF,1649382,1649434,53,+,b1574,N,N,NE,NE,3,23.60 ,3,25.52 ,NE,0,0.00,0,0.00,E
dicB,1649609,1649797,189,+,b1575,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,2,0.78,2,0.85,E
ydfD,1649794,1649985,192,+,b1576,Y,N,NE,NE,9,19.54 ,9,21.32 ,NE,41,15.70,40,16.71,NE
ydfE,1650078,1650842,765,+,b1577,Y,Y,NE,NE,102,55.59 ,100,59.13 ,NE,1721,165.45,1719,179.32,NE
insD1,1650845,1651537,693,+,b1578,Y,Y,NE,E,233,140.17 ,226,147.91 ,NE,1198,127.14,1137,131.27,NE
intQ,1651551,1652708,1158,+,b1579,Y,Y,NE,NE,43,15.48 ,40,15.64 ,NE,605,38.42,602,41.53,NE
rspB,1652896,1653915,1020,-,b1580,Y,N,NE,NE,69,28.20 ,69,30.60 ,NE,435,31.36,435,34.03,NE
rspA,1653927,1655141,1215,-,b1581,Y,N,NE,NE,22,7.55 ,22,8.20 ,NE,203,12.29,198,13.01,NE
ynfA,1655347,1655673,327,-,b1582,Y,N,NE,E,514,655.31 ,507,706.92 ,NE,4975,1118.92,4967,1221.73,NE
ynfB,1655808,1656149,342,+,b1583,Y,N,NE,NE,795,969.11 ,777,1031.63 ,NE,3155,678.46,3096,725.14,NE
speG,1656184,1656744,561,+,b1584,Y,N,NE,NE,72,53.51 ,66,53.22 ,NE,661,86.65,447,63.59,NE
ynfC,1656747,1657457,711,-,b1585,Y,N,NE,NE,162,94.99 ,161,102.47 ,NE,847,87.61,847,95.10,NE
ynfD,1657565,1657870,306,+,b1586,Y,N,NE,E,16,21.80 ,16,23.65 ,NE,234,56.24,234,61.03,NE
ynfE,1658069,1660495,2427,+,b1587,Y,N,NE,NE,304,52.22 ,276,51.58 ,NE,1597,48.39,1288,42.46,NE
ynfF,1660556,1662979,2424,+,b1588,Y,N,NE,NE,145,24.94 ,128,23.91 ,NE,693,21.03,511,16.84,NE
ynfG,1662990,1663607,618,+,b1589,Y,N,NE,E,684,461.42 ,680,497.35 ,NE,2874,342.02,2458,317.15,NE
ynfH,1663609,1664463,855,+,b1590,Y,N,NE,NE,64,31.21 ,62,32.84 ,NE,1027,88.34,989,92.42,NE
dmsD,1664506,1665120,615,+,b1591,Y,N,NE,NE,104,70.50 ,103,75.73 ,NE,590,70.56,576,74.71,NE
clcB,1665315,1666571,1257,+,b1592,Y,N,NE,NE,921,305.46 ,863,310.96 ,NE,5067,296.46,4679,297.42,NE
ynfK,1666524,1667219,696,-,b1593,Y,N,NE,NE,465,278.53 ,458,298.34 ,NE,1965,207.64,1947,223.74,NE
mlc,1667344,1668564,1221,-,b1594,Y,N,NE,NE,187,63.85 ,187,69.30 ,NE,1784,107.46,1770,115.71,NE
ynfL,1668699,1669592,894,-,b1595,Y,N,NE,NE,114,53.16 ,103,52.24 ,NE,810,66.63,798,71.40,NE
ynfM,1669699,1670952,1254,+,b1596,Y,N,NE,NE,358,119.02 ,332,119.94 ,NE,4680,274.47,3296,210.06,NE
asr,1671376,1671684,309,+,b1597,Y,N,NE,NE,45,60.71 ,45,65.83 ,NE,149,35.46,149,38.45,NE
ydgU,1671777,1671860,84,+,b4601,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,2,1.75,2,1.94,E
ydgD,1671960,1672781,822,+,b1598,Y,N,NE,NE,436,221.13 ,426,234.30 ,NE,4571,408.97,4534,439.91,NE
mdtI,1672820,1673149,330,-,b1599,Y,N,NE,E,324,409.32 ,281,387.91 ,NE,1456,324.49,1291,314.39,NE
mdtJ,1673136,1673501,366,-,b1600,Y,N,NE,NE,108,123.02 ,80,98.67 ,NE,854,171.61,717,156.01,NE
tqsA,1673913,1674947,1035,+,b1601,Y,N,NE,NE,252,101.51 ,247,108.28 ,NE,1346,95.64,1265,97.83,NE
pntB,1674972,1676360,1389,-,b1602,Y,N,NE,NE,357,107.15 ,342,111.65 ,NE,2777,147.04,2714,156.30,NE
pntA,1676371,1677903,1533,-,b1603,Y,N,NE,NE,339,92.19 ,330,97.64 ,NE,2496,119.74,2450,127.88,NE
ydgH,1678427,1679371,945,+,b1604,Y,N,NE,NE,55,24.26 ,51,24.47 ,NE,291,22.65,257,21.75,NE
ydgI,1679557,1680939,1383,+,b1605,Y,N,NE,NE,308,92.85 ,177,58.06 ,NE,3821,203.19,3250,188.06,NE
folM,1680976,1681698,723,+,b1606,Y,N,NE,NE,416,239.88 ,288,180.01 ,NE,2507,255.02,1191,131.32,NE
ydgC,1681695,1682030,336,-,b1607,Y,N,NE,NE,215,266.77 ,123,166.49 ,NE,266,58.22,176,42.03,NE
rstA,1682159,1682878,720,+,b1608,Y,N,NE,NE,14,8.11 ,14,8.79 ,NE,185,18.90,183,20.27,NE
rstB,1682882,1684183,1302,+,b1609,Y,N,NE,E,689,220.62 ,452,157.29 ,NE,5657,319.54,4688,287.80,NE
tus,1684259,1685188,930,+,b1610,Y,N,NE,E,122,54.69 ,87,42.47 ,NE,1549,122.50,140,12.06,NE
fumC,1685185,1686588,1404,-,b1611,Y,N,NE,NE,472,140.15 ,455,146.82 ,NE,2897,151.75,2769,157.62,NE
fumA,1686731,1688377,1647,-,b1612,Y,N,NE,NE,209,52.90 ,196,53.94 ,NE,1729,77.21,1645,79.86,NE
manA,1688576,1689751,1176,+,b1613,Y,N,NE,NE,266,94.30 ,252,97.28 ,NE,811,50.72,775,52.78,NE
ydgA,1689852,1691360,1509,+,b1614,Y,N,NE,E,83,22.93 ,80,24.01 ,NE,352,17.16,343,18.16,NE
uidC,1691586,1692851,1266,-,b1615,Y,N,NE,NE,81,26.67 ,80,28.60 ,NE,828,48.10,814,51.34,NE
uidB,1692890,1694263,1374,-,b1616,Y,N,NE,NE,94,28.52 ,84,27.66 ,NE,1412,75.58,1390,80.75,NE
uidA,1694260,1696071,1812,-,b1617,Y,N,NE,NE,206,47.40 ,189,47.24 ,NE,356,14.45,338,14.90,NE
uidR,1696462,1697052,591,-,b1618,Y,N,NE,E,136,95.94 ,135,103.65 ,NE,1042,129.67,976,132.19,NE
hdhA,1697273,1698040,768,-,b1619,Y,N,NE,NE,69,37.46 ,60,35.33 ,NE,506,48.46,438,45.50,NE
malI,1698152,1699180,1029,-,b1620,Y,N,NE,NE,1790,725.22 ,1767,779.53 ,NE,8004,572.06,7912,615.75,NE
malX,1699355,1700947,1593,+,b1621,Y,N,NE,NE,319,83.48 ,308,87.65 ,NE,2074,95.75,1987,99.75,NE
malY,1700957,1702129,1173,+,b1622,Y,N,NE,NE,77,27.37 ,76,29.31 ,NE,146,9.15,136,9.25,NE
add,1702233,1703234,1002,+,b1623,Y,N,NE,NE,294,122.32 ,285,128.87 ,NE,1413,103.71,1363,108.72,NE
ydgJ,1703268,1704308,1041,-,b1624,Y,N,NE,NE,307,122.95 ,300,130.69 ,NE,2659,187.85,2608,200.42,NE
blr,1704551,1704676,126,+,b4409,Y,N,NE,NE,39,129.04 ,37,135.31 ,NE,187,109.15,183,118.06,NE
cnu,1704949,1705164,216,+,b1625,Y,N,NE,NE,46,88.78 ,44,91.72 ,NE,823,280.22,773,284.25,NE
ydgK,1705250,1705690,441,+,b1626,Y,N,NE,NE,101,95.48 ,98,100.88 ,NE,819,136.58,572,103.87,NE
rsxA,1705767,1706348,582,+,b1627,Y,N,NE,NE,578,414.03 ,545,425.49 ,NE,3601,455.04,3220,443.47,NE
rsxB,1706348,1706926,579,+,b1628,Y,N,NE,NE,80,57.60 ,80,62.81 ,NE,209,26.55,180,24.93,NE
rsxC,1706919,1709141,2223,+,b1629,Y,N,NE,NE,1771,332.13 ,1754,357.23 ,NE,14961,494.97,14650,526.35,NE
rsxD,1709142,1710200,1059,+,b1630,Y,N,NE,NE,1063,418.47 ,1033,441.70 ,NE,14890,1034.08,14582,1099.93,NE
rsxG,1710204,1710824,621,+,b1631,Y,N,NE,NE,266,178.58 ,207,150.61 ,NE,3166,374.95,2806,360.15,NE
rsxE,1710828,1711523,696,+,b1632,Y,N,NE,NE,99,59.30 ,92,59.93 ,NE,821,86.75,772,88.71,NE
nth,1711523,1712158,636,+,b1633,Y,N,NE,NE,107,70.14 ,104,74.24 ,NE,697,80.60,663,83.49,NE
dtpA,1712769,1714271,1503,+,b1634,Y,N,NE,E,1725,478.48 ,1722,519.09 ,NE,23018,1126.32,23013,1223.78,NE
gstA,1714377,1714982,606,+,b1635,Y,N,NE,NE,146,100.44 ,140,104.60 ,NE,1211,146.97,1154,152.10,NE
pdxY,1715026,1715889,864,-,b1636,Y,N,NE,NE,354,170.81 ,325,170.22 ,NE,1325,112.79,1246,115.12,NE
tyrS,1715948,1717222,1275,-,b1637,Y,N,E,E,1,0.33 ,1,0.36 ,E,11,0.63,9,0.57,E
pdxH,1717351,1718007,657,-,b1638,Y,N,NE,NE,6,3.81 ,5,3.45 ,NE,3,0.34,3,0.36,E
mliC,1718066,1718395,330,-,b1639,Y,N,NE,NE,32,40.43 ,20,27.61 ,NE,17,3.79,15,3.65,NE
anmK,1718493,1719602,1110,-,b1640,Y,N,NE,NE,997,374.46 ,715,291.67 ,NE,3356,222.36,2889,207.90,NE
slyB,1719876,1720343,468,+,b1641,Y,N,NE,NE,82,73.05 ,82,79.13 ,NE,565,88.79,561,95.51,NE
slyA,1720390,1720824,435,-,b1642,Y,N,NE,NE,21,20.13 ,19,19.85 ,NE,158,26.71,156,28.75,NE
ydhI,1721025,1721261,237,+,b1643,Y,N,NE,NE,9,15.83 ,9,17.29 ,NE,146,45.31,145,49.14,NE
ydhJ,1721264,1722121,858,+,b1644,Y,N,NE,NE,29,14.09 ,25,13.19 ,NE,204,17.49,181,16.85,NE
ydhK,1722121,1724133,2013,+,b1645,Y,N,NE,NE,496,102.72 ,456,102.59 ,NE,2316,84.62,2213,87.83,NE
sodC,1724134,1724655,522,-,b1646,Y,N,NE,NE,822,656.50 ,805,696.27 ,NE,2139,301.37,2091,319.05,NE
ydhF,1724736,1725632,897,-,b1647,Y,N,NE,NE,106,49.27 ,100,50.53 ,NE,1560,127.90,1512,134.79,NE
ydhL,1725681,1725920,240,-,b1648,Y,N,NE,E,2,3.47 ,2,3.79 ,NE,52,15.93,37,12.37,NE
nemR,1726023,1726622,600,+,b1649,Y,N,NE,NE,61,42.38 ,53,40.03 ,NE,457,56.02,454,60.49,NE
nemA,1726659,1727756,1098,+,b1650,Y,N,NE,NE,261,99.10 ,212,87.51 ,NE,933,62.49,876,63.79,NE
gloA,1727837,1728244,408,+,b1651,Y,N,NE,NE,28,28.61 ,28,31.05 ,NE,82,14.78,74,14.47,NE
rnt,1728347,1728994,648,+,b1652,Y,N,NE,E,122,78.49 ,119,83.24 ,NE,117,13.28,115,14.19,NE
lhr,1729087,1733703,4617,+,b1653,Y,N,NE,NE,4551,410.94 ,4383,430.05 ,NE,12739,202.92,12333,213.47,NE
grxD,1733754,1734101,348,-,b1654,Y,N,NE,E,101,121.00 ,100,130.28 ,NE,277,58.54,274,62.97,NE
mepH,1734435,1735250,816,+,b1655,Y,N,NE,NE,28,14.31 ,28,15.52 ,NE,72,6.49,71,6.94,NE
sodB,1735378,1735959,582,+,b1656,Y,N,NE,NE,128,91.69 ,128,99.93 ,NE,663,83.78,663,91.31,NE
ydhP,1736121,1737290,1170,-,b1657,Y,N,NE,NE,882,314.28 ,861,332.98 ,NE,5267,331.08,5204,355.04,NE
ynhF,1737456,1737545,90,-,b4602,Y,N,NE,NE,2,9.26 ,2,10.17 ,NE,19,15.53,19,17.04,NE
purR,1737844,1738869,1026,+,b1658,Y,N,NE,NE,306,124.34 ,305,134.98 ,NE,791,56.70,791,61.76,NE
ydhB,1738866,1739798,933,-,b1659,Y,N,NE,NE,183,81.77 ,183,89.02 ,NE,2743,216.22,2735,234.71,NE
ydhC,1739911,1741122,1212,+,b1660,Y,N,NE,NE,259,89.09 ,237,88.53 ,NE,3358,203.77,2826,186.24,NE
cfa,1741413,1742561,1149,+,b1661,Y,N,NE,NE,536,194.48 ,523,206.28 ,NE,4963,317.67,4943,343.93,NE
ribC,1742601,1743242,642,-,b1662,Y,N,E,E,17,11.04 ,13,9.19 ,NE,182,20.85,174,21.69,NE
